1,2013-09-02,19:11:18,19:11:20,<p>errori risolti</p>,4
21,2013-09-19,08:15:00,13:00:00,"<p>Correzione altezze (H max = 14,50 m)</p>",8
50,2013-10-05,15:30:00,18:30:00,calcolo del volume urbanistico,10
76,2013-10-21,15:00:00,19:30:00,<p>Dalle 18:00 alle 19:30 - riunione con i properietari in via Roma</p>,8
92,2013-11-02,10:30:00,12:00:00,<p>Aiuto a Erik per problemi connessione con rete Unterberger</p>,13
97,2013-11-06,15:00:00,18:00:00,verifica obbligatorietà ascensore,12
108,2013-11-14,10:30:00,13:00:00,<p>Variante Business Center (Hoppe)</p>,13
109,2013-11-15,08:00:00,13:00:00,"<ol>
<li>Elenco varianti</li>
<li>Varie verifiche</li>
</ol>",9
165,2013-12-28,10:00:00,13:00:00,"<p>Installazione trial building design premium</p>
<p>&nbsp;</p>",7
164,2013-12-28,14:30:00,19:00:00,Installato trial autodesk design suite,7
166,2013-12-30,08:00:00,15:00:00,"<p style='"text-align: right;'">7</p>",8
169,2014-01-02,14:30:00,17:30:00,Prospetti,12
244,2014-02-20,15:30:00,18:30:00,3og,12
255,2014-02-26,17:30:00,21:30:00,<p>4</p>,12
256,2014-02-27,08:15:00,13:00:00,<p>4</p>,12
257,2014-02-27,15:00:00,20:00:00,<p>4</p>,12
258,2014-02-28,08:15:00,13:00:00,<p>4</p>,12
289,2014-03-19,15:00:00,18:00:00,preparazione incontro 20/03 con geom. Avi ,15
299,2014-03-31,08:15:00,13:00:00,-,13
301,2014-04-01,08:15:00,13:00:00,"<p>Inizio elaborazione nuova proposta:</p>
<p>-edifico con 27 alloggi Ipes</p>
<p>- edificio con 8 alloggi (proprietari)</p>
<p>- edificio rimanente (ca 35 alloggi) privato</p>
<p>densit&agrave; edilizia 3,5 - senza bonus cubatura -altezza massima 13,5m</p>",8
302,2014-04-01,15:00:00,18:00:00,"<p>Inizio elaborazione nuova proposta:</p>
<p>-edifico con 27 alloggi Ipes</p>
<p>- edificio con 8 alloggi (proprietari)</p>
<p>- edificio rimanente (ca 35 alloggi) privato</p>
<p>densit&agrave; edilizia 3,5 - senza bonus cubatura -altezza massima 13,5m</p>",8
303,2014-04-02,08:00:00,09:30:00,-,9
304,2014-04-02,12:00:00,13:00:00,-,9
314,2014-04-04,15:00:00,17:00:00,<p>Sopralluogo con Diego per stima costo serramenti</p>,15
324,2014-04-10,08:30:00,13:00:00,<p>- varianti BP 313 angolo SUDOVEST</p>,14
325,2014-04-10,15:00:00,18:30:00,<p>- varianti BP 313 angolo SUDOVEST</p>,14
326,2014-04-11,08:15:00,11:00:00,<p>- varianti BP 313 angolo SUDOVEST</p>,14
327,2014-04-11,11:00:00,13:00:00,<p>- varianti BP 313 angolo SUDOVEST</p>,8
331,2014-04-16,08:15:00,13:00:00,- cantiere questione serramenti e pavimenti in legno non corrispondenti a direttive ipes,9
348,2014-04-28,15:00:00,18:00:00,<p>ultimazione primo schizzo rendering</p>,14
351,2014-04-30,08:15:00,11:30:00,cantiere varie,9
375,2014-05-19,16:30:00,20:30:00,"riunione con Letzner, Pohl, Unterberger, Zischg, Zeller",12
391,2014-05-29,08:15:00,13:00:00,Sviluppo tipo 3,14
392,2014-05-29,15:00:00,20:00:00,<p>Calcolo ombre</p>,12
393,2014-05-30,08:15:00,13:00:00,<p>Calcolo ombre e schleppcurven</p>,12
395,2014-06-03,08:15:00,13:00:00,allegati Zeller,12
396,2014-06-03,15:00:00,19:00:00,allegati zeller,12
421,2014-06-18,10:30:00,12:45:00,- typ 3,14
427,2014-06-22,08:30:00,18:30:00,<p>Babel tour 95 - cimiteri</p>,19
428,2014-06-23,08:30:00,10:30:00,<p>superfici definitive alloggi</p>,9
429,2014-06-23,10:30:00,12:45:00,<p>superfici definitive alloggi</p>,14
446,2014-07-02,08:15:00,10:30:00,"<p>presente Neulichedl, disussione su logge balconi</p>",9
447,2014-07-02,10:30:00,13:00:00,"<p>presente Neulichedl, disussione su logge balconi</p>",14
460,2014-07-09,15:00:00,18:30:00,<p>Studio Typ20</p>,14
466,2014-07-14,08:15:00,12:45:00,<p>copie elaborati per IPES</p>,9
489,2014-07-30,08:00:00,10:00:00,discussione vialetto,9
490,2014-07-29,08:15:00,13:00:00,"<p>-ricerca in archivio documenti Therme Merano</p>
<p>- ricerca documentazione Verona&nbsp;</p>",13
498,2014-08-03,15:30:00,19:00:00,"<p>studio urbanistico dell''area, studio delle proposte e possibile riutilizzo</p>",22
511,2014-08-13,09:00:00,12:30:00,"SU mi ha chiamato in ufficio
discussione su Lipsia e Verona",14
512,2014-08-14,15:00:00,20:30:00,Studio typ40 staffelgeschosse,14
524,2014-09-01,08:00:00,13:00:00,<p>Spedizione raccomandate</p>,22
534,2014-09-08,08:00:00,13:00:00,zonizzazione,22
535,2014-09-08,14:30:00,18:30:00,zonizzazione,22
602,2014-10-15,16:30:00,18:30:00,Sviluppo progetto con Palla,14
609,2014-10-18,08:30:00,18:00:00,-,19
640,2014-11-05,06:30:00,19:30:00,Con Richard - vedi report,22
690,2014-12-01,18:00:00,19:30:00,"<p>Riunione ufficio SU</p>
<p>presenti SU, MZ, Siegfried Pohl, Karl Zeller</p>",9
692,2014-12-02,15:00:00,16:30:00,riserve,9
694,2014-12-03,16:00:00,20:30:00,riserve,9
731,2015-01-13,11:30:00,13:30:00,Primo sopralluogo con Bernhard - ,23
754,2015-01-26,08:30:00,13:30:00,allegati richiesta consulenza tecnica preventiva,9
785,2015-02-12,11:30:00,13:00:00,nuova proposta con edificio Ipes 1300 mq convenzionale,8
786,2015-02-12,15:00:00,19:00:00,nuova proposta con edif IPES 1300 mq sup conv,8
787,2015-02-13,08:15:00,13:00:00,nuova proposta con edif IPES 1300 mq sup conv,8
788,2015-02-13,15:30:00,18:30:00,nuova proposta con edif IPES 1300 mq sup conv,8
790,2015-02-16,08:15:00,13:00:00,nuova proposta con edif IPES 1300 mq sup conv,8
808,2015-02-27,08:15:00,13:00:00,- rendering con nuovi alberi,14
809,2015-02-27,15:00:00,16:00:00,organigramma,24
810,2015-02-27,16:00:00,19:00:00,rendering con nuove piante,14
811,2015-03-02,08:15:00,13:00:00,<p>rendering con nuovi alberi</p>,14
822,2015-03-05,21:00:00,22:30:00,<p>Assemblea ordinaria 2015</p>,5
838,2015-03-18,08:15:00,13:00:00,fotomontaggio,14
839,2015-03-18,15:00:00,17:00:00,fotomontaggio,14
853,2015-03-27,15:00:00,19:00:00,<p>Lettera Alto Adige per Terme</p>,13
854,2015-03-30,08:30:00,13:00:00,<p>Lettera Alto Adige per Terme</p>,14
902,2015-04-28,15:00:00,17:00:00,correzione brochure,14
906,2015-04-30,14:00:00,18:30:00,"<p>Assemblea Ordine degli architetti</p>
<p>4 crediti</p>",19
907,2015-05-04,08:30:00,13:00:00,"<p>Assemblea Ordine degli architetti</p>
<p>4 crediti</p>",14
908,2015-05-04,15:00:00,18:30:00,"<p>Assemblea Ordine degli architetti</p>
<p>4 crediti</p>",14
791,2015-02-16,15:00:00,18:30:00,-,8
911,2015-05-06,08:00:00,09:00:00,<p>Incontro con Stefan Palla</p>,14
912,2015-05-06,09:00:00,13:00:00,<p>Traduzione</p>,8
913,2015-05-06,15:00:00,18:30:00,<p>Traduzione</p>,14
955,2015-06-22,08:15:00,15:15:00,<p>prima riunione peritale c/o ing. Cleva</p>,26
1125,2016-01-13,08:30:00,13:00:00,-,14
1126,2016-01-13,15:00:00,18:30:00,-,14
1156,2016-02-02,15:00:00,19:30:00,-memoria tecnica 7 quesito II Atp,26
1161,2016-02-05,08:30:00,13:00:00,EFH1-01,14
1206,2016-03-18,09:30:00,12:00:00,<p>Villa Paradiso sopralluogo con Richard</p>,13
1245,2016-04-14,09:15:00,12:15:00,via Marlengo,14
1247,2016-04-14,12:15:00,19:00:00,Assemblea annuale ordine,19
